itemCode, duration, forcepoints, brickpoint, tokens, discount
acp,1000000,5000,0,4000,0
acq,1000000,5000,0,4000,0
acr,1000000,5000,0,4000,0
acs,1000000,5000,0,4000,0
act,1000000,5000,0,4000,0
acu,1000000,5000,0,4000,0
acv,1000000,5000,0,4000,0
acw,1000000,5000,0,4000,0
acx,1000000,5000,0,4000,0
acy,1000000,5000,0,4000,0
acz,1000000,5000,0,4000,0
ada,1000000,5000,0,4000,0
adb,1000000,5000,0,4000,0
adc,1000000,5000,0,4000,0
add,1000000,5000,0,4000,0
ade,1000000,5000,0,4000,0
adf,1000000,5000,0,4000,0
adg,1000000,5000,0,4000,0
adh,1000000,5000,0,4000,0
adi,1000000,5000,0,4000,0
adj,1000000,5000,0,4000,0
adk,1000000,5000,0,4000,0
adl,1000000,5000,0,4000,0
adm,1000000,5000,0,4000,0
adn,1000000,5000,0,4000,0
ado,1000000,5000,0,4000,0
adp,1000000,5000,0,4000,0
adq,1000000,5000,0,4000,0
adr,1000000,5000,0,4000,0
ads,1000000,5000,0,4000,0
adt,1000000,5000,0,4000,0
adu,1000000,5000,0,4000,0
adw,1000000,5000,0,4000,0
adx,1000000,5000,0,4000,0
ady,1000000,5000,0,4000,0
adz,1000000,5000,0,4000,0
aea,1000000,5000,0,4000,0
aeb,1000000,5000,0,4000,0
aec,1000000,5000,0,4000,0
aed,1000000,5000,0,4000,0
aee,1000000,5000,0,4000,0
aef,1000000,5000,0,4000,0
aeg,1000000,5000,0,4000,0
aeh,1000000,5000,0,4000,0
aei,1000000,5000,0,4000,0
aej,1000000,5000,0,4000,0
aek,1000000,5000,0,4000,0
ael,1000000,5000,0,4000,0
aem,1000000,5000,0,4000,0
aen,1000000,5000,0,4000,0
aeo,1000000,5000,0,4000,0
aep,1000000,5000,0,4000,0
aeq,1000000,5000,0,4000,0
aer,1000000,5000,0,4000,0
aes,1000000,5000,0,4000,0
aet,1000000,5000,0,4000,0
aeu,1000000,5000,0,4000,0
aew,1000000,5000,0,4000,0
aex,1000000,5000,0,4000,0
aey,1000000,5000,0,4000,0
aez,1000000,5000,0,4000,0
afa,1000000,5000,0,4000,0
aff,1000000,5000,0,4000,0
afg,1000000,5000,0,4000,0
afh,1000000,5000,0,4000,0
afi,1000000,5000,0,4000,0
afj,1000000,5000,0,4000,0
afk,1000000,5000,0,4000,0
afl,1000000,5000,0,4000,0
afm,1000000,5000,0,4000,0
afb,1000000,5000,0,4000,0
afc,1000000,5000,0,4000,0
afd,1000000,5000,0,4000,0
afe,1000000,5000,0,4000,0
afo,1000000,5000,0,4000,0
afp,1000000,5000,0,4000,0
afq,1000000,5000,0,4000,0
afr,1000000,5000,0,4000,0
afs,1000000,5000,0,4000,0
aft,1000000,5000,0,4000,0
afu,1000000,5000,0,4000,0
afw,1000000,5000,0,4000,0
afx,1000000,5000,0,4000,0
afy,1000000,5000,0,4000,0
afz,1000000,5000,0,4000,0
aga,1000000,5000,0,4000,0
agb,1000000,5000,0,4000,0
agc,1000000,5000,0,4000,0
agd,1000000,5000,0,4000,0
age,1000000,5000,0,4000,0
agf,1000000,5000,0,4000,0
agg,1000000,5000,0,4000,0
agh,1000000,5000,0,4000,0
agi,1000000,5000,0,4000,0
agj,1000000,5000,0,4000,0
agk,1000000,5000,0,4000,0
agl,1000000,5000,0,4000,0
agm,1000000,5000,0,4000,0
agn,1000000,5000,0,4000,0
ago,1000000,5000,0,4000,0
agp,1000000,5000,0,4000,0
agq,1000000,5000,0,4000,0
agr,1000000,5000,0,4000,0
ags,1000000,5000,0,4000,0
agt,1000000,5000,0,4000,0
agu,1000000,5000,0,4000,0
agv,1000000,5000,0,4000,0
agw,1000000,5000,0,4000,0
agx,1000000,5000,0,4000,0
agy,1000000,5000,0,4000,0
agz,1000000,5000,0,4000,0
aha,1000000,5000,0,4000,0
ahb,1000000,5000,0,4000,0
ahc,1000000,5000,0,4000,0
ahd,1000000,5000,0,4000,0
ahe,1000000,5000,0,4000,0
ahf,1000000,5000,0,4000,0
ahg,1000000,5000,0,4000,0
ahh,1000000,5000,0,4000,0
ahi,1000000,5000,0,4000,0
ahj,1000000,5000,0,4000,0
ahk,1000000,5000,0,4000,0
ahl,1000000,5000,0,4000,0
ahm,1000000,5000,0,4000,0
ahn,1000000,5000,0,4000,0
aho,1000000,5000,0,4000,0
ahp,1000000,5000,0,4000,0
ahq,1000000,5000,0,4000,0
ahr,1000000,5000,0,4000,0
ahs,1000000,5000,0,4000,0
aht,1000000,5000,0,4000,0
ahu,1000000,5000,0,4000,0
ahv,1000000,5000,0,4000,0
ahw,1000000,5000,0,4000,0
ahx,1000000,5000,0,4000,0
ahy,1000000,5000,0,4000,0
ahz,1000000,5000,0,4000,0
aia,1000000,5000,0,4000,0
aib,1000000,5000,0,4000,0
aic,1000000,5000,0,4000,0
aid,1000000,5000,0,4000,0
aie,1000000,5000,0,4000,0
aif,1000000,5000,0,4000,0
aig,1000000,5000,0,4000,0
aih,1000000,5000,0,4000,0
aii,1000000,5000,0,4000,0
aij,1000000,5000,0,4000,0
aik,1000000,5000,0,4000,0
ail,1000000,5000,0,4000,0
aim,1000000,5000,0,4000,0
ain,1000000,5000,0,4000,0
aio,1000000,5000,0,4000,0
aip,1000000,5000,0,4000,0
aiq,1000000,5000,0,4000,0
air,1000000,5000,0,4000,0
ais,1000000,5000,0,4000,0
ait,1000000,5000,0,4000,0
aiu,1000000,5000,0,4000,0
aiv,1000000,5000,0,4000,0
aiw,1000000,5000,0,4000,0
aix,1000000,5000,0,4000,0
aiy,1000000,5000,0,4000,0
aiz,1000000,5000,0,4000,0
aja,1000000,5000,0,4000,0
ajb,1000000,5000,0,4000,0
ajc,1000000,5000,0,4000,0
ajd,1000000,5000,0,4000,0
aje,1000000,5000,0,4000,0
ajf,1000000,5000,0,4000,0
ajg,1000000,5000,0,4000,0
ajh,1000000,5000,0,4000,0
aji,1000000,5000,0,4000,0
ajj,1000000,5000,0,4000,0
ajk,1000000,5000,0,4000,0
ajl,1000000,5000,0,4000,0
ajm,1000000,5000,0,4000,0
ajn,1000000,5000,0,4000,0
ajo,1000000,5000,0,4000,0
ajp,1000000,5000,0,4000,0
ajq,1000000,5000,0,4000,0
ajr,1000000,5000,0,4000,0
ajs,1000000,5000,0,4000,0
ajt,1000000,5000,0,4000,0
aju,1000000,5000,0,4000,0
ajv,1000000,5000,0,4000,0
ajw,1000000,5000,0,4000,0
ajx,1000000,5000,0,4000,0
ajy,1000000,5000,0,4000,0
ajz,1000000,5000,0,4000,0
aka,1000000,5000,0,4000,0
akb,1000000,5000,0,4000,0
akc,1000000,5000,0,4000,0
akd,1000000,5000,0,4000,0
ake,1000000,5000,0,4000,0
akf,1000000,5000,0,4000,0
akg,1000000,5000,0,4000,0
akh,1000000,5000,0,4000,0
aki,1000000,5000,0,4000,0
akj,1000000,5000,0,4000,0
akk,1000000,5000,0,4000,0
akl,1000000,5000,0,4000,0
akm,1000000,5000,0,4000,0
akn,1000000,5000,0,4000,0
ako,1000000,5000,0,4000,0
akp,1000000,5000,0,4000,0
akq,1000000,5000,0,4000,0
akr,1000000,5000,0,4000,0
aks,1000000,5000,0,4000,0
akt,1000000,5000,0,4000,0
waa,1000000,1,0,4000,0
wab,1000000,2,0,4000,0
wad,1000000,3,0,4000,0
wae,1000000,4,0,4000,0
waf,1000000,5,0,4000,0
wag,1000000,6,0,4000,0
wah,1000000,7,0,4000,0
wai,1000000,8,0,4000,0
waj,1000000,9,0,4000,0
wak,1000000,10,0,4000,0
wal,1000000,11,0,4000,0
wao,1000000,12,0,4000,0
wap,1000000,13,0,4000,0
waq,1000000,14,0,4000,0
war,1000000,15,0,4000,0
was,1000000,16,0,4000,0
wat,1000000,17,0,4000,0
wau,1000000,18,0,4000,0
wav,1000000,19,0,4000,0
waw,1000000,20,0,4000,0
wax,1000000,21,0,4000,0
way,1000000,22,0,4000,0
waz,1000000,23,0,4000,0
wbb,1000000,25,0,4000,0
wbc,1000000,5000,0,4000,0
wbd,1000000,6969,0,4000,0
wbe,1000000,5000,0,4000,0
wbf,1000000,5000,0,4000,0
wbg,1000000,5000,0,4000,0
wbh,1000000,5000,0,4000,0
wbi,1000000,5000,0,4000,0
wbj,1000000,5000,0,4000,0
wbk,1000000,5000,0,4000,0
wbl,1000000,5000,0,4000,0
wbm,1000000,5000,0,4000,0
wbn,1000000,5000,0,4000,0
wbo,1000000,5000,0,4000,0
wbp,1000000,5000,0,4000,0
wbq,1000000,5000,0,4000,0
wbr,1000000,5000,0,4000,0
wbs,1000000,5000,0,4000,0
wbt,1000000,5000,0,4000,0
wbu,1000000,5000,0,4000,0
wbv,1000000,5000,0,4000,0
wbw,1000000,5000,0,4000,0
wbx,1000000,5000,0,4000,0
wbz,1000000,5000,0,4000,0
wca,1000000,5000,0,4000,0
wcb,1000000,5000,0,4000,0
wcc,1000000,5000,0,4000,0
wcd,1000000,5000,0,4000,0
wce,1000000,5000,0,4000,0
wcf,1000000,5000,0,4000,0
wcg,1000000,5000,0,4000,0
wch,1000000,5000,0,4000,0
wci,1000000,5000,0,4000,0
wcj,1000000,5000,0,4000,0
wck,1000000,5000,0,4000,0
wcl,1000000,5000,0,4000,0
wcm,1000000,5000,0,4000,0
wcn,1000000,5000,0,4000,0
wco,1000000,5000,0,4000,0
wcp,1000000,5000,0,4000,0
wcq,1000000,5000,0,4000,0
wcr,1000000,5000,0,4000,0
wcs,1000000,5000,0,4000,0
wct,1000000,5000,0,4000,0
wcu,1000000,5000,0,4000,0
wcv,1000000,5000,0,4000,0
wcw,1000000,5000,0,4000,0
wcx,1000000,5000,0,4000,0
wcy,1000000,5000,0,4000,0
wcz,1000000,5000,0,4000,0
wda,1000000,5000,0,4000,0
wdb,1000000,5000,0,4000,0
wdc,1000000,5000,0,4000,0
wdd,1000000,5000,0,4000,0
wde,1000000,5000,0,4000,0
wdf,1000000,5000,0,4000,0
wdg,1000000,5000,0,4000,0
wdh,1000000,5000,0,4000,0
wdi,1000000,5000,0,4000,0
wdj,1000000,5000,0,4000,0
wdk,1000000,5000,0,4000,0
wdl,1000000,5000,0,4000,0
wdm,1000000,5000,0,4000,0
wdn,1000000,5000,0,4000,0
wdo,1000000,5000,0,4000,0
wdp,1000000,5000,0,4000,0
wdq,1000000,5000,0,4000,0
wdr,1000000,5000,0,4000,0
wds,1000000,5000,0,4000,0
wdt,1000000,5000,0,4000,0
wdu,1000000,5000,0,4000,0
wdw,1000000,5000,0,4000,0
wdx,1000000,5000,0,4000,0
wdy,1000000,5000,0,4000,0
wdz,1000000,5000,0,4000,0
wea,1000000,5000,0,4000,0
web,1000000,5000,0,4000,0
wec,1000000,5000,0,4000,0
wed,1000000,5000,0,4000,0
wee,1000000,5000,0,4000,0
wef,1000000,5000,0,4000,0
weg,1000000,5000,0,4000,0
weh,1000000,5000,0,4000,0
wei,1000000,5000,0,4000,0
wej,1000000,5000,0,4000,0
wek,1000000,5000,0,4000,0
wem,1000000,5000,0,4000,0
wen,1000000,5000,0,4000,0
wel,1000000,5000,0,4000,0
weo,1000000,5000,0,4000,0
wep,1000000,5000,0,4000,0
weq,1000000,5000,0,4000,0
wew,1000000,5000,0,4000,0
wex,1000000,5000,0,4000,0
wey,1000000,5000,0,4000,0
wez,1000000,5000,0,4000,0
wfa,1000000,5000,0,4000,0
wfb,1000000,5000,0,4000,0
wfc,1000000,5000,0,4000,0
weu,1000000,5000,0,4000,0
wes,1000000,5000,0,4000,0
wet,1000000,5000,0,4000,0
wer,1000000,5000,0,4000,0
wev,1000000,5000,0,4000,0
wfd,1000000,5000,0,4000,0
wfe,1000000,5000,0,4000,0
wff,1000000,5000,0,4000,0
wfg,1000000,5000,0,4000,0
wfh,1000000,5000,0,4000,0
wfi,1000000,5000,0,4000,0
wfj,1000000,5000,0,4000,0
wfk,1000000,5000,0,4000,0
wfl,1000000,5000,0,4000,0
wfm,1000000,5000,0,4000,0
wfn,1000000,5000,0,4000,0
wfo,1000000,5000,0,4000,0
wfp,1000000,5000,0,4000,0
wfq,1000000,5000,0,4000,0
wfr,1000000,5000,0,4000,0
wfs,1000000,5000,0,4000,0
wft,1000000,5000,0,4000,0
wfu,1000000,5000,0,4000,0
wfv,1000000,5000,0,4000,0
wfw,1000000,5000,0,4000,0
wfx,1000000,5000,0,4000,0
wfy,1000000,5000,0,4000,0
wfz,1000000,5000,0,4000,0
wga,1000000,5000,0,4000,0
wgb,1000000,5000,0,4000,0
wgc,1000000,5000,0,4000,0
wgd,1000000,5000,0,4000,0
wge,1000000,5000,0,4000,0
wgf,1000000,5000,0,4000,0
wgg,1000000,5000,0,4000,0
wgh,1000000,5000,0,4000,0
wgi,1000000,5000,0,4000,0
wgj,1000000,5000,0,4000,0
wgk,1000000,5000,0,4000,0
wgl,1000000,5000,0,4000,0
wgm,1000000,5000,0,4000,0
wgn,1000000,5000,0,4000,0
wgo,1000000,5000,0,4000,0
wgp,1000000,5000,0,4000,0
wgq,1000000,5000,0,4000,0
wgr,1000000,5000,0,4000,0
wgs,1000000,5000,0,4000,0
wgt,1000000,5000,0,4000,0
wgu,1000000,5000,0,4000,0
wgv,1000000,5000,0,4000,0
wgw,1000000,5000,0,4000,0
wgx,1000000,5000,0,4000,0
wgy,1000000,5000,0,4000,0
wgz,1000000,5000,0,4000,0
wha,1000000,5000,0,4000,0
whb,1000000,5000,0,4000,0
whc,1000000,5000,0,4000,0
whd,1000000,5000,0,4000,0
whe,1000000,5000,0,4000,0
whf,1000000,5000,0,4000,0
whg,1000000,5000,0,4000,0
whh,1000000,5000,0,4000,0
whi,1000000,5000,0,4000,0
whj,1000000,5000,0,4000,0
whk,1000000,5000,0,4000,0
whl,1000000,5000,0,4000,0
whm,1000000,5000,0,4000,0
whn,1000000,5000,0,4000,0
who,1000000,5000,0,4000,0
whp,1000000,5000,0,4000,0
whq,1000000,5000,0,4000,0
whr,1000000,5000,0,4000,0
whs,1000000,5000,0,4000,0
wht,1000000,5000,0,4000,0
whu,1000000,5000,0,4000,0
whv,1000000,5000,0,4000,0
whw,1000000,5000,0,4000,0
whx,1000000,5000,0,4000,0
why,1000000,5000,0,4000,0
whz,1000000,5000,0,4000,0
wia,1000000,5000,0,4000,0
wib,1000000,5000,0,4000,0
wic,1000000,5000,0,4000,0
wid,1000000,5000,0,4000,0
wie,1000000,5000,0,4000,0
wif,1000000,5000,0,4000,0
wig,1000000,5000,0,4000,0
wih,1000000,5000,0,4000,0
wii,1000000,5000,0,4000,0
wij,1000000,5000,0,4000,0
wik,1000000,5000,0,4000,0
wil,1000000,5000,0,4000,0
wim,1000000,5000,0,4000,0
win,1000000,5000,0,4000,0
wio,1000000,5000,0,4000,0
wip,1000000,5000,0,4000,0
wiq,1000000,5000,0,4000,0
wir,1000000,5000,0,4000,0
wis,1000000,5000,0,4000,0
wit,1000000,5000,0,4000,0
wiu,1000000,5000,0,4000,0
wiv,1000000,5000,0,4000,0
wiw,1000000,5000,0,4000,0
wix,1000000,5000,0,4000,0
wiy,1000000,5000,0,4000,0
wiz,1000000,5000,0,4000,0
wja,1000000,5000,0,4000,0
wjb,1000000,5000,0,4000,0
wjc,1000000,5000,0,4000,0
wjd,1000000,5000,0,4000,0
wje,1000000,5000,0,4000,0
wjf,1000000,5000,0,4000,0
wjg,1000000,5000,0,4000,0
wjh,1000000,5000,0,4000,0
wji,1000000,5000,0,4000,0
wjj,1000000,5000,0,4000,0
wjk,1000000,5000,0,4000,0
wjl,1000000,5000,0,4000,0
wjm,1000000,5000,0,4000,0
wjn,1000000,5000,0,4000,0
wjo,1000000,5000,0,4000,0
wjp,1000000,5000,0,4000,0
wjq,1000000,5000,0,4000,0
wjr,1000000,5000,0,4000,0
wjs,1000000,5000,0,4000,0
wjt,1000000,5000,0,4000,0
wju,1000000,5000,0,4000,0
wjv,1000000,5000,0,4000,0
wjw,1000000,5000,0,4000,0
wjx,1000000,5000,0,4000,0
wjy,1000000,5000,0,4000,0
wjz,1000000,5000,0,4000,0
wka,1000000,5000,0,4000,0
wkb,1000000,5000,0,4000,0
wkc,1000000,5000,0,4000,0
wkd,1000000,5000,0,4000,0
wke,1000000,5000,0,4000,0
wkf,1000000,5000,0,4000,0
wkg,1000000,5000,0,4000,0
wkh,1000000,5000,0,4000,0
wki,1000000,5000,0,4000,0
wkj,1000000,5000,0,4000,0
wkk,1000000,5000,0,4000,0
wkl,1000000,5000,0,4000,0
wkm,1000000,5000,0,4000,0
wkn,1000000,5000,0,4000,0
wko,1000000,5000,0,4000,0
wkp,1000000,5000,0,4000,0
wkq,1000000,5000,0,4000,0
wkr,1000000,5000,0,4000,0
wks,1000000,5000,0,4000,0
wkt,1000000,5000,0,4000,0
wku,1000000,5000,0,4000,0
wkv,1000000,5000,0,4000,0
wkw,1000000,5000,0,4000,0
wkx,1000000,5000,0,4000,0
wky,1000000,5000,0,4000,0
wkz,1000000,5000,0,4000,0
wla,1000000,5000,0,4000,0
wlb,1000000,5000,0,4000,0
wlc,1000000,5000,0,4000,0
wld,1000000,5000,0,4000,0
wle,1000000,5000,0,4000,0
wlf,1000000,5000,0,4000,0
wlg,1000000,5000,0,4000,0
wlh,1000000,5000,0,4000,0
wli,1000000,5000,0,4000,0
wlj,1000000,5000,0,4000,0
wlk,1000000,5000,0,4000,0
wll,1000000,5000,0,4000,0
wlm,1000000,5000,0,4000,0
wln,1000000,5000,0,4000,0
wlo,1000000,5000,0,4000,0
wlp,1000000,5000,0,4000,0
wlq,1000000,5000,0,4000,0
wlr,1000000,5000,0,4000,0
wls,1000000,5000,0,4000,0
wlt,1000000,5000,0,4000,0
wlu,1000000,5000,0,4000,0
wlv,1000000,5000,0,4000,0
wlw,1000000,5000,0,4000,0
wlx,1000000,5000,0,4000,0
wly,1000000,5000,0,4000,0
wlz,1000000,5000,0,4000,0
wma,1000000,5000,0,4000,0
wmb,1000000,5000,0,4000,0
wmc,1000000,5000,0,4000,0
wmd,1000000,5000,0,4000,0
wme,1000000,5000,0,4000,0
wmf,1000000,5000,0,4000,0
wmg,1000000,5000,0,4000,0
wmh,1000000,5000,0,4000,0
wmi,1000000,5000,0,4000,0
wmj,1000000,5000,0,4000,0
wmk,1000000,5000,0,4000,0
wml,1000000,5000,0,4000,0
wmm,1000000,5000,0,4000,0
wmn,1000000,5000,0,4000,0
wmo,1000000,5000,0,4000,0
wmp,1000000,5000,0,4000,0
wmq,1000000,5000,0,4000,0
wmr,1000000,5000,0,4000,0
wms,1000000,5000,0,4000,0
wmt,1000000,5000,0,4000,0
wmu,1000000,5000,0,4000,0
wmv,1000000,5000,0,4000,0
wmw,1000000,5000,0,4000,0
wmx,1000000,5000,0,4000,0
wmy,1000000,5000,0,4000,0
wmz,1000000,5000,0,4000,0
wna,1000000,5000,0,4000,0
wnb,1000000,5000,0,4000,0
wnc,1000000,5000,0,4000,0
wnd,1000000,5000,0,4000,0
wne,1000000,5000,0,4000,0
wnf,1000000,5000,0,4000,0
wng,1000000,5000,0,4000,0
wnh,1000000,5000,0,4000,0
wni,1000000,5000,0,4000,0
wnj,1000000,5000,0,4000,0
wnk,1000000,5000,0,4000,0
wnl,1000000,5000,0,4000,0
wnm,1000000,5000,0,4000,0
wnn,1000000,5000,0,4000,0
wno,1000000,5000,0,4000,0
wnp,1000000,5000,0,4000,0
wnq,1000000,5000,0,4000,0
wnr,1000000,5000,0,4000,0
wns,1000000,5000,0,4000,0
wnt,1000000,5000,0,4000,0
wnu,1000000,5000,0,4000,0
wnv,1000000,5000,0,4000,0
wnw,1000000,5000,0,4000,0
wnx,1000000,5000,0,4000,0
wny,1000000,5000,0,4000,0
wnz,1000000,5000,0,4000,0
woa,1000000,5000,0,4000,0
wob,1000000,5000,0,4000,0
woc,1000000,5000,0,4000,0
wod,1000000,5000,0,4000,0
woe,1000000,5000,0,4000,0
wof,1000000,5000,0,4000,0
wog,1000000,5000,0,4000,0
woh,1000000,5000,0,4000,0
woi,1000000,5000,0,4000,0
woj,1000000,5000,0,4000,0
wok,1000000,5000,0,4000,0
wol,1000000,5000,0,4000,0
wom,1000000,5000,0,4000,0
won,1000000,5000,0,4000,0
woo,1000000,5000,0,4000,0
wop,1000000,5000,0,4000,0
woq,1000000,5000,0,4000,0
wor,1000000,5000,0,4000,0
wos,1000000,5000,0,4000,0
wot,1000000,5000,0,4000,0
wou,1000000,5000,0,4000,0
wov,1000000,5000,0,4000,0
a01,1000000,5000,0,4000,0
a02,1000000,5000,0,4000,0
a03,1000000,5000,0,4000,0
a04,1000000,5000,0,4000,0
a05,1000000,5000,0,4000,0
a06,1000000,5000,0,4000,0
a07,1000000,5000,0,4000,0
a08,1000000,5000,0,4000,0
a09,1000000,5000,0,4000,0
a10,1000000,5000,0,4000,0
a11,1000000,5000,0,4000,0
a12,1000000,5000,0,4000,0
a13,1000000,5000,0,4000,0
a14,1000000,5000,0,4000,0
a15,1000000,5000,0,4000,0
a16,1000000,5000,0,4000,0
a17,1000000,5000,0,4000,0
a18,1000000,5000,0,4000,0
a19,1000000,5000,0,4000,0
a20,1000000,5000,0,4000,0
a21,1000000,5000,0,4000,0
a22,1000000,5000,0,4000,0
a23,1000000,5000,0,4000,0
a24,1000000,5000,0,4000,0
a25,1000000,5000,0,4000,0
a26,1000000,5000,0,4000,0
a27,1000000,5000,0,4000,0
a28,1000000,5000,0,4000,0
a29,1000000,5000,0,4000,0
a30,1000000,5000,0,4000,0
a31,1000000,5000,0,4000,0
a32,1000000,5000,0,4000,0
a33,1000000,5000,0,4000,0
a34,1000000,5000,0,4000,0
a35,1000000,5000,0,4000,0
a36,1000000,5000,0,4000,0
a37,1000000,5000,0,4000,0
a38,1000000,5000,0,4000,0
a39,1000000,5000,0,4000,0
a40,1000000,5000,0,4000,0
a41,1000000,5000,0,4000,0
a42,1000000,5000,0,4000,0
a43,1000000,5000,0,4000,0
a44,1000000,5000,0,4000,0
a45,1000000,5000,0,4000,0
a46,1000000,5000,0,4000,0
a47,1000000,5000,0,4000,0
a48,1000000,5000,0,4000,0
a49,1000000,5000,0,4000,0
a50,1000000,5000,0,4000,0
a51,1000000,5000,0,4000,0
a52,1000000,5000,0,4000,0
a53,1000000,5000,0,4000,0
a54,1000000,5000,0,4000,0
a55,1000000,5000,0,4000,0
a56,1000000,5000,0,4000,0
a57,1000000,5000,0,4000,0
a58,1000000,5000,0,4000,0
a59,1000000,5000,0,4000,0
a60,1000000,5000,0,4000,0
a61,1000000,5000,0,4000,0
a62,1000000,5000,0,4000,0
a63,1000000,5000,0,4000,0
a64,1000000,5000,0,4000,0
a65,1000000,5000,0,4000,0
a66,1000000,5000,0,4000,0
a67,1000000,5000,0,4000,0
a68,1000000,5000,0,4000,0
a69,1000000,5000,0,4000,0
a70,1000000,5000,0,4000,0
a71,1000000,5000,0,4000,0
a72,1000000,5000,0,4000,0
a73,1000000,5000,0,4000,0
a74,1000000,5000,0,4000,0
a75,1000000,5000,0,4000,0
a76,1000000,5000,0,4000,0
a78,1000000,5000,0,4000,0
a79,1000000,5000,0,4000,0
a80,1000000,5000,0,4000,0
a81,1000000,5000,0,4000,0
a82,1000000,5000,0,4000,0
a83,1000000,5000,0,4000,0
a84,1000000,5000,0,4000,0
a85,1000000,5000,0,4000,0
a86,1000000,5000,0,4000,0
a87,1000000,5000,0,4000,0
a88,1000000,5000,0,4000,0
a89,1000000,5000,0,4000,0
a90,1000000,5000,0,4000,0
a91,1000000,5000,0,4000,0
a92,1000000,5000,0,4000,0
a93,1000000,5000,0,4000,0
a94,1000000,5000,0,4000,0
a95,1000000,5000,0,4000,0
a96,1000000,5000,0,4000,0
a97,1000000,5000,0,4000,0
a98,1000000,5000,0,4000,0
a99,1000000,5000,0,4000,0
aa1,1000000,5000,0,4000,0
aa2,1000000,5000,0,4000,0
aa3,1000000,5000,0,4000,0
aa4,1000000,5000,0,4000,0
aa5,1000000,5000,0,4000,0
aa6,1000000,5000,0,4000,0
aa7,1000000,5000,0,4000,0
aa8,1000000,5000,0,4000,0
aa9,1000000,5000,0,4000,0
ab1,1000000,5000,0,4000,0
ab2,1000000,5000,0,4000,0
ab3,1000000,5000,0,4000,0
ab4,1000000,5000,0,4000,0
ab5,1000000,5000,0,4000,0
ab6,1000000,5000,0,4000,0
ab7,1000000,5000,0,4000,0
ab8,1000000,5000,0,4000,0
ab9,1000000,5000,0,4000,0
ac1,1000000,5000,0,4000,0
ac2,1000000,5000,0,4000,0
ac3,1000000,5000,0,4000,0
ac4,1000000,5000,0,4000,0
ac5,1000000,5000,0,4000,0
ac6,1000000,5000,0,4000,0
ac7,1000000,5000,0,4000,0
ac8,1000000,5000,0,4000,0
ac9,1000000,5000,0,4000,0
ad1,1000000,5000,0,4000,0
ad2,1000000,5000,0,4000,0
ad3,1000000,5000,0,4000,0
ad4,1000000,5000,0,4000,0
ad5,1000000,5000,0,4000,0
ad6,1000000,5000,0,4000,0
ad7,1000000,5000,0,4000,0
ad8,1000000,5000,0,4000,0
ad9,1000000,5000,0,4000,0
ae1,1000000,5000,0,4000,0
ae2,1000000,5000,0,4000,0
ae3,1000000,5000,0,4000,0
ae4,1000000,5000,0,4000,0
ae5,1000000,5000,0,4000,0
ae6,1000000,5000,0,4000,0
ae7,1000000,5000,0,4000,0
ae8,1000000,5000,0,4000,0
ae9,1000000,5000,0,4000,0
af1,1000000,5000,0,4000,0
af2,1000000,5000,0,4000,0
af3,1000000,5000,0,4000,0
af4,1000000,5000,0,4000,0
