itemCode,isNew,isHot,isVisible,starRate,isSpecialOffer,isOfferOnce,isGiftable,ispromo,rebuyInvisible,minimumForcePointLevel,minimumTokenLevel
whe,0,0,1,100,0,0,1,0,0,0,0
whf,0,0,1,100,0,0,1,0,0,0,0
whg,0,0,1,100,0,0,1,0,0,0,0
whh,0,0,1,100,0,0,1,0,0,0,0
whi,0,0,1,100,0,0,1,0,0,0,0
whj,0,0,1,100,0,0,1,0,0,0,0
whk,0,0,1,100,0,0,1,0,0,0,0
whl,0,0,1,100,0,0,1,0,0,0,0
whm,0,0,1,100,0,0,1,0,0,0,0
whn,0,0,1,100,0,0,1,0,0,0,0
who,0,0,1,100,0,0,1,0,0,0,0
whp,0,0,1,100,0,0,1,0,0,0,0
whq,0,0,1,100,0,0,1,0,0,0,0
whr,0,0,1,100,0,0,1,0,0,0,0
whs,0,0,1,100,0,0,1,0,0,0,0
wht,0,0,1,100,0,0,1,0,0,0,0
whu,0,0,1,100,0,0,1,0,0,0,0
whv,0,0,1,100,0,0,1,0,0,0,0
whw,0,0,1,100,0,0,1,0,0,0,0
whx,0,0,1,100,0,0,1,0,0,0,0
why,0,0,1,100,0,0,1,0,0,0,0
whz,0,0,1,100,0,0,1,0,0,0,0
wia,0,0,1,100,0,0,1,0,0,0,0
wib,0,0,1,100,0,0,1,0,0,0,0
wic,0,0,1,100,0,0,1,0,0,0,0
wid,0,0,1,100,0,0,1,0,0,0,0
wie,0,0,1,100,0,0,1,0,0,0,0
wif,0,0,1,100,0,0,1,0,0,0,0
wig,0,0,1,100,0,0,1,0,0,0,0
wih,0,0,1,100,0,0,1,0,0,0,0
wii,0,0,1,100,0,0,1,0,0,0,0
wij,0,0,1,100,0,0,1,0,0,0,0
wik,0,0,1,100,0,0,1,0,0,0,0
wil,0,0,1,100,0,0,1,0,0,0,0
wim,0,0,1,100,0,0,1,0,0,0,0
win,0,0,1,100,0,0,1,0,0,0,0
wio,0,0,1,100,0,0,1,0,0,0,0
wip,0,0,1,100,0,0,1,0,0,0,0
wiq,0,0,1,100,0,0,1,0,0,0,0
wir,0,0,1,100,0,0,1,0,0,0,0
wis,0,0,1,100,0,0,1,0,0,0,0
wit,0,0,1,100,0,0,1,0,0,0,0
wiu,0,0,1,100,0,0,1,0,0,0,0
wiv,0,0,1,100,0,0,1,0,0,0,0
wiw,0,0,1,100,0,0,1,0,0,0,0
wix,0,0,1,100,0,0,1,0,0,0,0
wiy,0,0,1,100,0,0,1,0,0,0,0
wiz,0,0,1,100,0,0,1,0,0,0,0
wja,0,0,1,100,0,0,1,0,0,0,0
wjb,0,0,1,100,0,0,1,0,0,0,0
wjc,0,0,1,100,0,0,1,0,0,0,0
wjd,0,0,1,100,0,0,1,0,0,0,0
wje,0,0,1,100,0,0,1,0,0,0,0
wjf,0,0,1,100,0,0,1,0,0,0,0
wjg,0,0,1,100,0,0,1,0,0,0,0
wjh,0,0,1,100,0,0,1,0,0,0,0
wji,0,0,1,100,0,0,1,0,0,0,0
wjj,0,0,1,100,0,0,1,0,0,0,0
wjk,0,0,1,100,0,0,1,0,0,0,0
wjl,0,0,1,100,0,0,1,0,0,0,0
wjm,0,0,1,100,0,0,1,0,0,0,0
wjn,0,0,1,100,0,0,1,0,0,0,0
wjo,0,0,1,100,0,0,1,0,0,0,0
wjp,0,0,1,100,0,0,1,0,0,0,0
wjq,0,0,1,100,0,0,1,0,0,0,0
wjr,0,0,1,100,0,0,1,0,0,0,0
wjs,0,0,1,100,0,0,1,0,0,0,0
wjt,0,0,1,100,0,0,1,0,0,0,0
wju,0,0,1,100,0,0,1,0,0,0,0
wjv,0,0,1,100,0,0,1,0,0,0,0
wjw,0,0,1,100,0,0,1,0,0,0,0
wjx,0,0,1,100,0,0,1,0,0,0,0
wjy,0,0,1,100,0,0,1,0,0,0,0
wjz,0,0,1,100,0,0,1,0,0,0,0
wka,0,0,1,100,0,0,1,0,0,0,0
wkb,0,0,1,100,0,0,1,0,0,0,0
wkc,0,0,1,100,0,0,1,0,0,0,0
wkd,0,0,1,100,0,0,1,0,0,0,0
wke,0,0,1,100,0,0,1,0,0,0,0
wkf,0,0,1,100,0,0,1,0,0,0,0
wkg,0,0,1,100,0,0,1,0,0,0,0
wkh,0,0,1,100,0,0,1,0,0,0,0
wki,0,0,1,100,0,0,1,0,0,0,0
wkj,0,0,1,100,0,0,1,0,0,0,0
wkk,0,0,1,100,0,0,1,0,0,0,0
wkl,0,0,1,100,0,0,1,0,0,0,0
wkm,0,0,1,100,0,0,1,0,0,0,0
wkn,0,0,1,100,0,0,1,0,0,0,0
wko,0,0,1,100,0,0,1,0,0,0,0
